host,manager,server_team,dow,event_day,rain,dishwasher_down,low_inventory,meal_flag,predicted_sales,score_fair
David,Sarah,"('Emma', 'Isabella', 'James', 'Lucas', 'Mia', 'Noah')",6,1,1,0,0,1,5035.6,5035.6
David,Sarah,"('Ella', 'Emma', 'Isabella', 'Lucas', 'Mia', 'Noah')",6,1,1,0,0,1,5018.4,5018.4
David,Sarah,"('Emma', 'Isabella', 'Lucas', 'Mia', 'Noah', 'Sophia')",6,1,1,0,0,1,5013.2,5013.2
David,Sarah,"('Ella', 'Emma', 'Isabella', 'James', 'Lucas', 'Mia')",6,1,1,0,0,1,5009.6,5009.6
David,Sarah,"('Emma', 'Isabella', 'James', 'Lucas', 'Mia', 'Sophia')",6,1,1,0,0,1,5004.4,5004.4
David,Sarah,"('Ella', 'Emma', 'Isabella', 'James', 'Lucas', 'Noah')",6,1,1,0,0,1,4990.3,4990.3
David,Sarah,"('Ella', 'Emma', 'Isabella', 'Lucas', 'Mia', 'Sophia')",6,1,1,0,0,1,4987.2,4987.2
David,Sarah,"('Emma', 'Ethan', 'Isabella', 'Lucas', 'Mia', 'Noah')",6,1,1,0,0,1,4985.4,4985.4
David,Sarah,"('Emma', 'Isabella', 'James', 'Lucas', 'Noah', 'Sophia')",6,1,1,0,0,1,4985.1,4985.1
David,Sarah,"('Emma', 'Ethan', 'Isabella', 'James', 'Lucas', 'Mia')",6,1,1,0,0,1,4976.6,4976.6
David,Sarah,"('Ella', 'Emma', 'Isabella', 'James', 'Mia', 'Noah')",6,1,1,0,0,1,4970.5,4970.5
David,Sarah,"('Ella', 'Emma', 'Isabella', 'Lucas', 'Noah', 'Sophia')",6,1,1,0,0,1,4967.9,4967.9
David,Sarah,"('Emma', 'Isabella', 'James', 'Mia', 'Noah', 'Sophia')",6,1,1,0,0,1,4965.3,4965.3
David,Sarah,"('Ella', 'Emma', 'Ethan', 'Isabella', 'Lucas', 'Mia')",6,1,1,0,0,1,4959.4,4959.4
David,Sarah,"('Ella', 'Emma', 'Isabella', 'James', 'Lucas', 'Sophia')",6,1,1,0,0,1,4959.1,4959.1
David,Sarah,"('Emma', 'Ethan', 'Isabella', 'James', 'Lucas', 'Noah')",6,1,1,0,0,1,4957.3,4957.3
David,Sarah,"('Emma', 'Ethan', 'Isabella', 'Lucas', 'Mia', 'Sophia')",6,1,1,0,0,1,4954.2,4954.2
David,Sarah,"('Ella', 'Emma', 'Isabella', 'Mia', 'Noah', 'Sophia')",6,1,1,0,0,1,4948.1,4948.1
David,Sarah,"('Ella', 'Emma', 'Ethan', 'Isabella', 'Lucas', 'Noah')",6,1,1,0,0,1,4940.1,4940.1
David,Sarah,"('Ella', 'Emma', 'Isabella', 'James', 'Mia', 'Sophia')",6,1,1,0,0,1,4939.3,4939.3
David,Sarah,"('Emma', 'Ethan', 'Isabella', 'James', 'Mia', 'Noah')",6,1,1,0,0,1,4935.7,4935.7
David,Sarah,"('Emma', 'Ethan', 'Isabella', 'Lucas', 'Noah', 'Sophia')",6,1,1,0,0,1,4934.9,4934.9
David,Sarah,"('Ella', 'Emma', 'Ethan', 'Isabella', 'James', 'Lucas')",6,1,1,0,0,1,4931.3,4931.3
David,Sarah,"('Emma', 'Ethan', 'Isabella', 'James', 'Lucas', 'Sophia')",6,1,1,0,0,1,4926.1,4926.1
David,Sarah,"('Ella', 'Emma', 'Isabella', 'James', 'Noah', 'Sophia')",6,1,1,0,0,1,4920.0,4920.0
